participant_id,num_images,evaluations,cognitive_status,notes
307,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
308,2,"[np.int64(1), np.int64(2)]",,
309,2,"[np.int64(1), np.int64(2)]",,
310,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
312,1,[np.int64(1)],,
313,2,"[np.int64(1), np.int64(2)]",,
314,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
316,2,"[np.int64(1), np.int64(2)]",,
318,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
319,2,"[np.int64(1), np.int64(3)]",,
320,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
321,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
322,2,"[np.int64(1), np.int64(3)]",,
323,1,[np.int64(1)],,
324,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
325,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
326,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
327,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
328,1,[np.int64(1)],,
329,2,"[np.int64(1), np.int64(2)]",,
330,1,[np.int64(1)],,
331,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
332,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
333,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
334,1,[np.int64(1)],,
335,2,"[np.int64(1), np.int64(2)]",,
336,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
338,2,"[np.int64(1), np.int64(2)]",,
339,2,"[np.int64(1), np.int64(2)]",,
340,1,[np.int64(1)],,
341,2,"[np.int64(1), np.int64(3)]",,
342,1,[np.int64(2)],,
343,1,[np.int64(1)],,
344,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
345,1,[np.int64(1)],,
346,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
347,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
348,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
350,1,[np.int64(1)],,
401,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
402,2,"[np.int64(1), np.int64(2)]",,
403,2,"[np.int64(2), np.int64(3)]",,
404,1,[np.int64(2)],,
405,2,"[np.int64(1), np.int64(2)]",,
406,1,[np.int64(2)],,
407,2,"[np.int64(1), np.int64(2)]",,
408,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
409,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
410,1,[np.int64(1)],,
411,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
412,1,[np.int64(1)],,
413,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
414,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
415,2,"[np.int64(1), np.int64(2)]",,
416,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
417,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
418,2,"[np.int64(1), np.int64(2)]",,
419,1,[np.int64(1)],,
420,2,"[np.int64(1), np.int64(2)]",,
421,2,"[np.int64(1), np.int64(3)]",,
422,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
423,2,"[np.int64(1), np.int64(2)]",,
424,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
425,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
426,1,[np.int64(1)],,
427,1,[np.int64(1)],,
428,2,"[np.int64(2), np.int64(3)]",,
429,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
430,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
431,2,"[np.int64(1), np.int64(2)]",,
432,2,"[np.int64(1), np.int64(2)]",,
433,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
434,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
435,2,"[np.int64(1), np.int64(2)]",,
436,2,"[np.int64(1), np.int64(2)]",,
437,2,"[np.int64(1), np.int64(2)]",,
438,2,"[np.int64(1), np.int64(2)]",,
440,1,[np.int64(1)],,
441,1,[np.int64(1)],,
443,1,[np.int64(1)],,
501,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
502,2,"[np.int64(1), np.int64(2)]",,
503,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
504,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
505,3,"[np.int64(1), np.int64(2), np.int64(3)]",,
506,2,"[np.int64(1), np.int64(2)]",,
